impl,threads,mh_size,rep,criterio,tiempo
gpu,2,10,2,CB+smh_a,4.6727e-05
gpu,2,10,3,build_smh,0.00613225
gpu,2,10,3,smh_a,5.0701e-05
gpu,2,10,3,CB+smh_a,4.6972e-05
gpu,4,4,1,build_smh,0.0050191
gpu,4,4,1,smh_a,3.7721e-05
gpu,4,4,1,CB+smh_a,3.452e-05
gpu,4,4,2,build_smh,0.0047108
gpu,4,4,2,smh_a,4.7942e-05
gpu,4,4,2,CB+smh_a,3.5234e-05
gpu,4,4,3,build_smh,0.00538847
gpu,4,4,3,smh_a,4.9643e-05
gpu,4,4,3,CB+smh_a,3.417e-05
gpu,4,5,1,build_smh,0.00480905
gpu,4,5,1,smh_a,5.9765e-05
gpu,4,5,1,CB+smh_a,5.535e-05
gpu,4,5,2,build_smh,0.00499535
gpu,4,5,2,smh_a,6.1625e-05
gpu,4,5,2,CB+smh_a,6.3021e-05
gpu,4,5,3,build_smh,0.00529332
gpu,4,5,3,smh_a,4.8703e-05
gpu,4,5,3,CB+smh_a,4.4867e-05
gpu,4,6,1,build_smh,0.00472525
gpu,4,6,1,smh_a,3.8206e-05
gpu,4,6,1,CB+smh_a,3.4926e-05
gpu,4,6,2,build_smh,0.00478023
gpu,4,6,2,smh_a,3.8435e-05
gpu,4,6,2,CB+smh_a,3.4723e-05
gpu,4,6,3,build_smh,0.00501409
gpu,4,6,3,smh_a,4.127e-05
gpu,4,6,3,CB+smh_a,3.7131e-05
gpu,4,7,1,build_smh,0.00452843
gpu,4,7,1,smh_a,3.9371e-05
gpu,4,7,1,CB+smh_a,3.4045e-05
gpu,4,7,2,build_smh,0.0047321
gpu,4,7,2,smh_a,6.0094e-05
gpu,4,7,2,CB+smh_a,4.742e-05
gpu,4,7,3,build_smh,0.00480301
gpu,4,7,3,smh_a,3.8829e-05
gpu,4,7,3,CB+smh_a,3.4869e-05
gpu,4,8,1,build_smh,0.00482312
gpu,4,8,1,smh_a,4.9387e-05
gpu,4,8,1,CB+smh_a,3.7449e-05
gpu,4,8,2,build_smh,0.00478738
gpu,4,8,2,smh_a,4.0199e-05
gpu,4,8,2,CB+smh_a,6.4353e-05
gpu,4,8,3,build_smh,0.00496806
gpu,4,8,3,smh_a,3.9013e-05
gpu,4,8,3,CB+smh_a,4.3826e-05
gpu,4,9,1,build_smh,0.00469231
gpu,4,9,1,smh_a,3.8427e-05
gpu,4,9,1,CB+smh_a,3.4131e-05
gpu,4,9,2,build_smh,0.00475519
gpu,4,9,2,smh_a,5.0305e-05
gpu,4,9,2,CB+smh_a,3.9049e-05
gpu,4,9,3,build_smh,0.00574165
gpu,4,9,3,smh_a,4.807e-05
gpu,4,9,3,CB+smh_a,3.4032e-05
gpu,4,10,1,build_smh,0.00467594
gpu,4,10,1,smh_a,3.8722e-05
gpu,4,10,1,CB+smh_a,3.4947e-05
gpu,4,10,2,build_smh,0.00521193
gpu,4,10,2,smh_a,4.2256e-05
gpu,4,10,2,CB+smh_a,3.7431e-05
gpu,4,10,3,build_smh,0.00472941
gpu,4,10,3,smh_a,3.7565e-05
gpu,4,10,3,CB+smh_a,3.5154e-05
gpu,8,4,1,build_smh,0.00556884
gpu,8,4,1,smh_a,5.3298e-05
gpu,8,4,1,CB+smh_a,4.5498e-05
gpu,8,4,2,build_smh,0.00649464
gpu,8,4,2,smh_a,0.000166267
gpu,8,4,2,CB+smh_a,5.0127e-05
gpu,8,4,3,build_smh,0.0063515
